trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
263,False,"{'a': 0.9, 'e': 0.07113055202541568}",20,14,9.049657785340273,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
264,False,"{'a': 0.9, 'e': 0.07041924650516153}",20,5,24.6400816489275,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
265,False,"{'a': 0.9, 'e': 0.06971505404010991}",25,14,17.307919132098384,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
266,False,"{'a': 0.9, 'e': 0.06901790349970881}",30,4,-0.03839377365622654,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 1}",1
267,False,"{'a': 0.9, 'e': 0.06832772446471172}",25,0,37.47743877247957,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
268,False,"{'a': 0.9, 'e': 0.0676444472200646}",25,5,34.055285774521565,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
269,False,"{'a': 0.9, 'e': 0.06696800274786396}",30,18,21.26362177842288,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
270,False,"{'a': 0.9, 'e': 0.06629832272038531}",25,9,15.726726313029543,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
271,False,"{'a': 0.9, 'e': 0.06563533949318147}",20,16,8.72785548264951,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
272,False,"{'a': 0.9, 'e': 0.06497898609824965}",20,9,16.063649717093398,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
273,False,"{'a': 0.9, 'e': 0.06432919623726716}",20,6,27.596979880556546,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
274,False,"{'a': 0.9, 'e': 0.06368590427489448}",25,7,26.7085105449698,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
275,False,"{'a': 0.9, 'e': 0.06304904523214554}",25,14,16.68013178782441,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
276,False,"{'a': 0.9, 'e': 0.06241855477982408}",20,8,16.36719539396306,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
277,False,"{'a': 0.9, 'e': 0.06179436923202584}",20,16,9.30399438805516,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
278,False,"{'a': 0.9, 'e': 0.06117642553970558}",20,3,5.175822715136931,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 0}",1
279,False,"{'a': 0.9, 'e': 0.06056466128430853}",25,9,24.503236474030928,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
280,False,"{'a': 0.9, 'e': 0.05995901467146544}",30,14,27.0300762535948,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
281,False,"{'a': 0.9, 'e': 0.059359424524750785}",20,9,-7.533149875337223,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
282,False,"{'a': 0.9, 'e': 0.05876583027950327}",25,11,13.904812260942307,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
283,False,"{'a': 0.9, 'e': 0.05817817197670824}",20,12,13.615599320910839,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
284,False,"{'a': 0.9, 'e': 0.05759639025694116}",25,20,9.307164546269853,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
285,False,"{'a': 0.9, 'e': 0.057020426354371746}",30,13,28.604451506233378,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
286,False,"{'a': 0.9, 'e': 0.05645022209082803}",25,17,15.830436252792149,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
287,False,"{'a': 0.9, 'e': 0.05588571986991975}",20,7,21.150858616542592,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
288,False,"{'a': 0.9, 'e': 0.05532686267122055}",25,20,7.648842004516703,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
289,False,"{'a': 0.9, 'e': 0.05477359404450834}",20,13,13.076900635415575,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
290,False,"{'a': 0.9, 'e': 0.05422585810406326}",30,10,20.979515398114085,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
291,False,"{'a': 0.9, 'e': 0.05368359952302263}",30,7,39.719968239996035,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
292,False,"{'a': 0.9, 'e': 0.0531467635277924}",25,0,39.28170211665651,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
